batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
128,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,590.0,100.000015
128,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,585.0,100.000015
128,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,500.0,100.000015
256,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,646.0,100.000015
256,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,575.0,92.384629
256,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,615.0,100.000015
512,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,610.0,100.000015
512,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,591.0,100.000015
512,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,584.0,100.000015
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,468.0,100.000015
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,574.0,99.783348
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,528.0,100.000015
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,567.0,80.850012
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,486.0,84.373346
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,575.0,91.292321
64,6000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,685.0,100.000015
64,6000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,674.0,100.000015
64,6000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,671.0,100.000015
64,3000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,718.0,100.000015
64,3000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,721.0,98.050014
64,3000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,803.0,100.000015
64,1500,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,670.0,100.000015
64,1500,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,735.0,100.000015
64,1500,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,739.0,100.000015
64,750,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,748.0,100.000015
64,750,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,724.0,100.000015
64,750,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,700.0,100.000015
64,24000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,753.0,100.000015
64,24000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,738.0,87.300013
64,24000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,707.0,100.000015
64,48000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,776.0,100.000015
