run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
robert-run329,2026-01-06T17:34:56Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,128,2.040314,591.000
robert-run330,2026-01-06T17:45:00Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,128,1.695571,675.000
robert-run331,2026-01-06T17:59:16Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.01,0.2,0.99,3,True,128,2,0.99,500000,128,100.000016,584.000
robert-run332,2026-01-06T18:09:18Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.01,0.2,0.99,3,True,128,2,0.99,500000,128,100.000016,543.000
robert-run333,2026-01-06T18:44:27Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.01,0.2,0.99,3,True,128,2,0.99,500000,128,100.000016,599.000
robert-run334,2026-01-06T18:57:57Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,1024,1.716197,539.000
robert-run335,2026-01-06T19:10:46Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,1024,1.756532,598.000
robert-run336,2026-01-06T19:22:16Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,1500.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,1024,1.686279,658.000
robert-run337,2026-01-06T19:39:16Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,469.000
robert-run338,2026-01-06T19:47:51Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,458.000
robert-run339,2026-01-06T19:58:20Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,574.000
robert-run340,2026-01-06T20:24:28Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,4096,1.855392,643.000
robert-run341,2026-01-06T22:17:05Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,4096,1.577455,767.000
robert-run342,2026-01-06T22:32:23Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.0001,0.2,0.99,3,True,128,2,0.99,500000,4096,1.563636,906.000
robert-run343,2026-01-06T22:49:56Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,4096,100.000015,782.000
robert-run344,2026-01-06T23:15:32Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,4096,100.000015,784.000
robert-run345,2026-01-06T23:34:45Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.01,0.2,0.99,3,True,128,2,0.99,500000,4096,100.000015,536.000
