run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
max-hiddenunits16-config3-2,2025-11-30T15:37:02Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,100000.0,1000.0,2.020833,195.0
max-hiddenunits32-config3-0,2025-11-30T15:43:23Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,100000.0,1000.0,2.812704,125.0
max-hiddenunits32-config3-1,2025-11-30T15:45:33Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,100000.0,1000.0,3.727309,201.0
max-hiddenunits32-config3-2,2025-11-30T15:49:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,100000.0,1000.0,4.334842,195.0
max-hiddenunits64-config3-0,2025-11-30T15:52:21Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,100000.0,1000.0,6.885907,192.0
max-hiddenunits64-config3-1,2025-11-30T15:55:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,100000.0,1000.0,9.866057,192.0
max-hiddenunits64-config3-2,2025-11-30T15:59:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,100000.0,1000.0,4.420738,258.0
max-hiddenunits128-config3-0,2025-11-30T16:03:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,100000.0,1000.0,4.868501,285.0
max-hiddenunits128-config3-1,2025-11-30T16:08:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,100000.0,1000.0,6.202455,272.0
max-hiddenunits128-config3-2,2025-11-30T16:13:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,100000.0,1000.0,4.738648,276.0
