batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,123.0,21.698117
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,130.0,28.174363
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,139.0,36.537506
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,140.0,38.036673
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,134.0,53.866675
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,141.0,50.675007
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,143.0,38.920696
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,140.0,43.825007
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,167.0,56.185724
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,163.0,78.920012
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,199.0,33.605561
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,210.0,1.97282
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,194.0,2.220222
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,195.0,2.020833
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,125.0,2.812704
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,201.0,3.727309
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,195.0,4.334842
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,192.0,6.885907
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,192.0,9.866057
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,258.0,4.420738
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,285.0,4.868501
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,272.0,6.202455
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,276.0,4.738648
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,293.0,7.296504
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,295.0,4.250893
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,282.0,7.004055
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,294.0,12.368891
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,292.0,7.442858
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,303.0,9.630632
64,12000,0.0003,0.001,0.2,0.85,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,864.0,100.000015
64,12000,0.0003,0.001,0.2,0.875,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,679.0,100.000015
64,12000,0.0003,0.001,0.2,0.9,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,616.0,100.000015
64,12000,0.0003,0.001,0.2,0.925,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,709.0,100.000015
64,12000,0.0003,0.001,0.2,0.95,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,642.0,100.000015
64,12000,0.0003,0.001,0.2,0.975,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,557.0,100.000015
64,12000,0.0003,0.001,0.2,0.85,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,119.0,2.152989
64,12000,0.0003,0.001,0.2,0.85,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,128.0,2.625776
64,12000,0.0003,0.001,0.2,0.85,3,128.0,1.0,1000.0,100000.0,0.99,True,14.0,15.63 GB,125.0,1.689535
