run_id,timestamp,cpu_model,cpu_cores,cpu_frequency,total_ram,gpu_model,operating_system,drl_algorithm,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,cumulative_reward_mean,time_elapased_seconds
run_batch_size126_buffer_size21700,2026-01-14T13:51:43Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,126,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.280952,26.000
run_batch_size151_buffer_size100,2026-01-14T13:52:12Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.242187,24.000
run_batch_size151_buffer_size2500,2026-01-14T13:52:39Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,21.786542,26.000
run_batch_size151_buffer_size4900,2026-01-14T13:53:08Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,8.487403,26.000
run_batch_size151_buffer_size7300,2026-01-14T13:53:37Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,3.559922,25.000
run_batch_size151_buffer_size9700,2026-01-14T13:54:05Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.236111,26.000
run_batch_size151_buffer_size12100,2026-01-14T13:54:34Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.082759,25.000
run_batch_size151_buffer_size14500,2026-01-14T13:55:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.615158,26.000
run_batch_size151_buffer_size16900,2026-01-14T13:55:31Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.784375,24.000
run_batch_size151_buffer_size19300,2026-01-14T13:55:58Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.421218,24.000
run_batch_size151_buffer_size21700,2026-01-14T13:56:25Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,151,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.338337,26.000
run_batch_size176_buffer_size100,2026-01-14T13:56:54Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,176,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.154323,24.000
run_batch_size176_buffer_size2500,2026-01-14T13:57:21Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,176,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,27.952504,25.000
run_batch_size176_buffer_size4900,2026-01-14T13:57:49Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,176,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,5.825434,26.000
